IP,Freequency
172.30.2.129,46
172.30.2.102,2654
172.30.2.175,116
172.30.2.173,568
172.30.2.15,286
172.30.2.94,20
172.30.2.254,122
172.30.2.132,702
172.30.2.168,16
172.30.2.188,58
172.30.2.121,98
172.30.2.16,8
172.30.2.156,12
172.30.2.130,105
172.16.255.34,534
172.16.255.14,142
172.16.255.29,8
172.30.2.207,28
172.30.2.150,2
172.30.2.203,110
172.30.2.223,20
172.30.2.110,192
172.16.255.46,1291
172.16.255.43,2
172.30.2.200,16
172.30.2.192,2
172.30.2.176,10
172.30.2.190,222
172.30.2.216,34
172.16.255.49,36
172.30.2.170,2
172.30.2.174,20
172.30.2.122,69
172.16.255.6,98
172.30.2.228,2
172.16.255.55,218
172.30.2.235,210
172.30.2.106,134
172.30.2.133,742
172.30.3.145,44
172.30.2.144,455
172.30.3.104,80
172.30.3.188,24
172.30.3.164,14
172.30.2.238,276
172.16.255.33,2
172.30.3.142,42
172.30.2.214,90
195.91.161.51,2
172.16.255.51,6
172.30.2.213,120
172.30.3.60,2
172.30.2.249,152
172.30.2.197,14
172.30.2.155,14
172.30.2.218,142
172.30.2.212,148
172.30.2.143,48
172.30.2.169,2434
172.30.2.119,140
172.30.2.127,126
172.30.2.151,10
172.30.2.206,6
172.16.255.64,20
172.30.2.78,26
172.16.255.42,10
172.30.2.179,12
172.30.2.140,12
172.30.2.234,46
172.30.2.153,2
172.16.255.56,235
172.30.2.222,8
172.30.2.161,22
172.30.2.82,18
172.30.2.100,26
172.30.2.154,80
172.30.2.242,8
172.30.2.209,41
172.30.2.240,52
172.30.2.241,6
